Date,Close
2012-09-11,632.28
2012-09-12,631.37
2012-09-13,631.68
2012-09-14,630.19
2012-09-17,630.44
2012-09-18,630.34
2012-09-19,629.54
2012-09-20,628.99
2012-09-21,629.24
2012-09-24,629.49
2012-09-25,629.24
2012-09-26,628.79
2012-09-27,628.72
2012-09-28,626.84
2012-10-01,627.14
2012-10-02,627.14
2012-10-03,627.14
2012-10-04,627.14
2012-10-05,627.14
2012-10-08,627.44
2012-10-09,627.44
2012-10-10,627.04
2012-10-11,626.34
2012-10-12,625.35
2012-10-15,625.57
2012-10-16,625.05
2012-10-17,624.15
2012-10-18,623.75
2012-10-19,624.25
2012-10-22,624.2
2012-10-23,623.55
2012-10-24,623.45
2012-10-25,622.5
2012-10-26,623.35
2012-10-29,623.05
2012-10-30,622.55
2012-10-31,622.15
2012-11-01,622.8
2012-11-02,623.05
2012-11-05,623.0
2012-11-06,623.25
2012-11-07,622.7
2012-11-08,622.15
2012-11-09,622.65
2012-11-12,621.06
2012-11-13,621.36
2012-11-14,619.66
2012-11-15,621.35
2012-11-16,622.25
2012-11-19,621.75
2012-11-20,621.8
2012-11-21,621.65
2012-11-22,621.01
2012-11-23,621.26
2012-11-26,620.76
2012-11-27,620.41
2012-11-28,620.26
2012-11-29,619.21
2012-11-30,619.76
2012-12-03,619.46
2012-12-04,618.96
2012-12-05,619.76
2012-12-06,619.26
2012-12-07,619.26
2012-12-10,621.26
